"@Caption","都道府県別インターネット利用率及び機器別の利用状況（個人）（2024年）","","","","",""
"@Creator","令和7年版情報通信白書","","","","",""
"@Date","2025-07-04","","","","",""
"@Language","ja","","","","",""
"@@Title","ja","","","","",""
"都道府県","n","インターネット利用者の割合／総数","パソコン","携帯電話
（PHSを含む）","スマートフォン","タブレット型端末"
"@@Unit","ja","","","","",""
"","","％","％","％","％","％"
"@@Baseval","","","","","",""
"","","0.01","0.01","0.01","0.01","0.01"
"@@Datatype","","","","","",""
"xsd:string","xsd:integer","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double"
"@Note","","","","","",""
"北海道","572","79.8","42.5","6.5","70.9","23.0"
"青森県","818","75.4","30.4","8.4","60.4","15.8"
"岩手県","738","72.2","31.4","6.7","60.3","17.4"
"宮城県","799","83.1","46.2","10.4","68.7","23.4"
"秋田県","728","76.0","34.6","8.9","62.0","17.8"
"山形県","1,037","83.4","38.7","8.1","70.0","20.5"
"福島県","670","85.4","40.0","10.1","70.7","22.9"
"茨城県","710","86.3","42.3","8.2","71.4","21.3"
"栃木県","875","85.5","38.7","9.6","71.7","21.7"
"群馬県","770","82.0","44.4","8.9","72.1","20.6"
"埼玉県","809","88.4","47.7","12.1","75.3","24.8"
"千葉県","727","85.6","46.1","5.7","75.8","25.9"
"東京都","853","89.3","60.0","9.6","80.0","33.9"
"神奈川県","750","90.1","56.2","9.0","81.0","32.4"
"新潟県","868","81.0","33.5","8.4","70.0","19.8"
"富山県","1,275","83.9","44.0","8.7","71.9","21.8"
"石川県","891","83.8","46.1","7.4","73.7","24.8"
"福井県","891","83.5","40.8","9.8","70.7","24.2"
"山梨県","805","83.8","45.2","7.5","70.9","24.7"
"長野県","796","83.2","46.5","7.3","70.5","23.5"
"岐阜県","888","86.5","43.6","10.5","70.4","23.0"
"静岡県","898","85.7","46.3","9.1","73.9","23.2"
"愛知県","839","86.8","49.6","9.7","78.7","26.7"
"三重県","776","84.4","49.3","10.9","71.8","25.1"
"滋賀県","885","86.3","44.9","10.2","73.5","21.7"
"京都府","717","88.2","46.7","8.6","75.9","27.7"
"大阪府","590","84.2","42.7","5.0","75.6","21.7"
"兵庫県","685","89.1","54.0","7.7","79.3","32.5"
"奈良県","788","86.1","43.9","9.7","74.7","20.4"
"和歌山県","624","78.9","36.3","9.7","67.8","19.8"
"鳥取県","765","80.6","41.1","7.2","67.5","18.1"
"島根県","838","82.3","42.7","11.6","66.7","19.9"
"岡山県","768","85.0","46.6","8.7","72.9","23.1"
"広島県","758","87.2","43.6","8.3","76.5","23.8"
"山口県","738","83.4","37.9","7.6","70.7","20.1"
"徳島県","673","82.3","40.9","7.5","67.3","19.1"
"香川県","741","82.8","39.3","10.2","69.4","19.4"
"愛媛県","666","79.3","35.5","8.3","66.1","21.3"
"高知県","626","80.9","40.5","9.3","67.4","19.2"
"福岡県","667","90.1","47.3","13.6","76.2","24.1"
"佐賀県","872","82.0","39.7","11.2","65.4","21.0"
"長崎県","756","78.9","35.5","11.3","66.6","20.8"
"熊本県","727","80.7","39.8","13.1","68.2","24.8"
"大分県","663","81.3","40.7","11.0","67.4","22.8"
"宮崎県","614","80.0","32.9","11.8","66.8","18.6"
"鹿児島県","513","80.0","35.0","10.4","68.1","22.2"
"沖縄県","395","85.3","49.5","8.7","77.2","31.2"
"全体","35,852","85.6","46.8","9.0","74.4","25.5"
